epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.317,0.99219,2.8667,1.21974,0.0049,0.86696,0.19475,0.13721,0.84117,3.33201,1.07922,0.00032867,0.00032867,0.00032867
2,430.824,0.96713,2.18099,1.18174,0.43576,0.39648,0.44785,0.35179,0.96247,2.7879,1.18315,0.000664981,0.000664981,0.000664981
3,639.439,1.05087,2.06934,1.19258,0.46805,0.49363,0.46126,0.3463,1.0611,2.66795,1.25002,0.000994501,0.000994501,0.000994501
4,852.106,1.07576,1.87424,1.19611,0.42182,0.59149,0.45536,0.30697,1.18152,3.2586,1.45188,0.00131723,0.00131723,0.00131723
5,1085.53,1.05868,1.80919,1.18571,0.56965,0.43518,0.50167,0.33838,1.14398,3.16254,1.3034,0.00137241,0.00137241,0.00137241
6,1316.87,1.0719,1.76434,1.22935,0.5371,0.45321,0.46329,0.3178,1.21208,2.59842,1.43337,0.00135826,0.00135826,0.00135826
7,1552.03,1.07509,1.66057,1.19482,0.52742,0.50955,0.5542,0.37184,1.23338,3.5973,1.42987,0.00134412,0.00134412,0.00134412
8,1783.08,1.04213,1.56676,1.18226,0.63382,0.48649,0.57424,0.39002,1.20206,1.9428,1.38199,0.00132997,0.00132997,0.00132997
9,2013.47,1.06364,1.52447,1.19573,0.63836,0.77936,0.76803,0.57703,0.99108,1.59469,1.19864,0.00131582,0.00131582,0.00131582
10,2245.47,1.0198,1.51528,1.16509,0.84283,0.7836,0.86543,0.65368,0.99704,1.48789,1.18097,0.00130168,0.00130168,0.00130168
11,2477.3,1.00894,1.39565,1.15085,0.71156,0.73538,0.75782,0.58378,0.94897,1.64303,1.14959,0.00128753,0.00128753,0.00128753
12,2714.34,0.97541,1.3426,1.15334,0.58215,0.47115,0.45739,0.32542,1.06573,2.40077,1.22652,0.00127338,0.00127338,0.00127338
13,2960.85,0.99744,1.33559,1.15209,0.85268,0.71421,0.85826,0.65321,0.95836,1.26268,1.13656,0.00125923,0.00125923,0.00125923
14,3217.19,0.96595,1.23564,1.12819,0.91112,0.7293,0.86485,0.6706,0.90692,1.41973,1.14267,0.00124509,0.00124509,0.00124509
15,3466.97,0.91348,1.16047,1.11487,0.81215,0.73409,0.83973,0.63366,1.03077,1.53309,1.19302,0.00123094,0.00123094,0.00123094
16,3720.52,0.9279,1.19162,1.13138,0.84044,0.73434,0.85116,0.62431,1.01263,1.56547,1.22384,0.00121679,0.00121679,0.00121679
17,3974.53,0.93511,1.14866,1.1243,0.87833,0.80644,0.91051,0.73388,0.8352,1.07816,1.08199,0.00120265,0.00120265,0.00120265
18,4228.08,0.91018,1.09197,1.09705,0.86151,0.81816,0.91082,0.73609,0.85231,1.10205,1.05046,0.0011885,0.0011885,0.0011885
19,4475.89,0.93526,1.13359,1.11108,0.87056,0.82487,0.91918,0.73681,0.82064,0.98332,1.02207,0.00117435,0.00117435,0.00117435
20,4711.05,0.86452,1.05016,1.08357,0.88648,0.84493,0.9277,0.75768,0.78729,0.92126,1.03346,0.00116021,0.00116021,0.00116021
21,4944.3,0.89731,1.04805,1.1043,0.89644,0.89504,0.95978,0.76793,0.80358,0.80505,1.03206,0.00114606,0.00114606,0.00114606
22,5175.85,0.83755,0.9731,1.05732,0.85492,0.86304,0.93159,0.75527,0.75519,0.91341,1.00824,0.00113191,0.00113191,0.00113191
23,5392.53,0.86739,0.95353,1.08539,0.84547,0.81378,0.88314,0.70865,0.87997,1.20887,1.0753,0.00111776,0.00111776,0.00111776
24,5625.72,0.84122,0.97701,1.07505,0.74941,0.84652,0.84882,0.65216,0.82035,1.07441,1.03647,0.00110362,0.00110362,0.00110362
25,5859.52,0.88071,0.9362,1.05948,0.91938,0.90274,0.96349,0.77692,0.78471,0.73095,1.02785,0.00108947,0.00108947,0.00108947
26,6091.79,0.84797,0.93599,1.07827,0.96681,0.85251,0.9626,0.791,0.74438,0.77274,1.00896,0.00107532,0.00107532,0.00107532
