epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,601.749,0.53303,0.4323,0.91933,0.98639,0.99792,0.99455,0.9195,0.45383,0.31014,0.84774,0.00034296,0.00034296,0.00034296
2,1162.77,0.51471,0.43265,0.92343,0.98537,0.99614,0.99368,0.90801,0.45798,0.35279,0.84999,0.000668701,0.000668701,0.000668701
3,1722.7,0.54848,0.45162,0.92431,0.97384,1,0.99494,0.89797,0.50177,0.36738,0.86649,0.000962289,0.000962289,0.000962289
4,2286.73,0.58193,0.46838,0.93277,0.97103,1,0.99442,0.89321,0.53316,0.36224,0.87373,0.00122372,0.00122372,0.00122372
5,2847.05,0.60712,0.49242,0.94335,0.96886,0.96209,0.98563,0.8745,0.60128,0.40502,0.91297,0.00117178,0.00117178,0.00117178
6,3406.6,0.6392,0.54349,0.95919,0.99205,0.9783,0.99024,0.87747,0.54623,0.38187,0.88152,0.00110747,0.00110747,0.00110747
7,3961.12,0.59463,0.50591,0.94754,0.9593,0.99179,0.99075,0.87158,0.55098,0.40059,0.88715,0.00104317,0.00104317,0.00104317
8,4515.94,0.60471,0.52877,0.94104,0.98282,0.97701,0.99343,0.88262,0.54294,0.37192,0.8865,0.000978865,0.000978865,0.000978865
9,5071.05,0.61223,0.50695,0.95189,0.97077,0.97852,0.99329,0.89289,0.54522,0.39055,0.88658,0.00091456,0.00091456,0.00091456
10,5629.22,0.58052,0.48856,0.94054,0.96697,0.98851,0.99144,0.90319,0.50761,0.38726,0.87509,0.000850255,0.000850255,0.000850255
11,6180.58,0.52742,0.45153,0.91785,0.96691,0.97376,0.99328,0.89981,0.54915,0.41699,0.90192,0.00078595,0.00078595,0.00078595
12,6731.83,0.53102,0.42471,0.89305,0.98764,0.98904,0.99478,0.89778,0.51868,0.41777,0.8865,0.000721645,0.000721645,0.000721645
13,7281.64,0.53091,0.44484,0.92725,0.97173,0.98723,0.99417,0.91054,0.49249,0.36701,0.8872,0.00065734,0.00065734,0.00065734
14,7831.78,0.4903,0.39002,0.88374,0.97619,0.99831,0.99494,0.91733,0.49304,0.34572,0.86512,0.000593035,0.000593035,0.000593035
15,8382.65,0.48255,0.37701,0.87847,0.98125,0.98765,0.99321,0.91868,0.47318,0.3446,0.86062,0.00052873,0.00052873,0.00052873
16,8934.98,0.48408,0.3789,0.8801,0.98733,0.99156,0.99297,0.9228,0.44544,0.32937,0.85118,0.000464425,0.000464425,0.000464425
17,9493.62,0.46061,0.36473,0.87078,0.98702,0.9948,0.99427,0.93019,0.45114,0.32743,0.85374,0.00040012,0.00040012,0.00040012
18,10054.1,0.4433,0.33144,0.87224,0.99106,1,0.995,0.93379,0.4391,0.31184,0.84443,0.000335815,0.000335815,0.000335815
19,10609.1,0.43949,0.32776,0.87118,0.98811,0.99639,0.99494,0.94331,0.4326,0.30967,0.85133,0.00027151,0.00027151,0.00027151
20,11170.8,0.44193,0.33168,0.86877,0.98483,1,0.99483,0.93534,0.43044,0.30785,0.851,0.000207205,0.000207205,0.000207205
